Hidden Size,Pooling,Optimizer,Epochs,Accuracy
16,max,SGD,5,0.899922592060157
16,max,SGD,50,0.9027977441114674
16,max,SGD,100,0.9047882339931439
16,max,SGD,250,0.9040141545947141
16,max,SGD,350,0.905783478933982
16,max,RMSprop,5,0.9033506579674887
16,max,RMSprop,50,0.9064469755612076
16,max,RMSprop,100,0.9030189096538759
16,max,RMSprop,250,0.9030189096538759
16,max,RMSprop,350,0.9036824062811014
16,max,Adam,5,0.9050093995355524
16,max,Adam,50,0.9046776512219397
16,max,Adam,100,0.9055623133915736
16,max,Adam,250,0.9051199823067566
16,max,Adam,350,0.9030189096538759
16,avg,SGD,5,0.8995908437465443
16,avg,SGD,50,0.9043459029083268
16,avg,SGD,100,0.9078845515868628
16,avg,SGD,250,0.9053411478491651
16,avg,SGD,350,0.9047882339931439
16,avg,RMSprop,5,0.9050093995355524
16,avg,RMSprop,50,0.9052305650779608
16,avg,RMSprop,100,0.9083268826716797
16,avg,RMSprop,250,0.9037929890523057
16,avg,RMSprop,350,0.9050093995355524
16,avg,Adam,5,0.9034612407386929
16,avg,Adam,50,0.9041247373659184
16,avg,Adam,100,0.9054517306203693
16,avg,Adam,250,0.9044564856795311
16,avg,Adam,350,0.9035718235098972
32,max,SGD,5,0.9002543403737697
32,max,SGD,50,0.9054517306203693
32,max,SGD,100,0.9069998894172288
32,max,SGD,250,0.9051199823067566
32,max,SGD,350,0.9061152272475949
32,max,RMSprop,5,0.9023554130266505
32,max,RMSprop,50,0.9042353201371226
32,max,RMSprop,100,0.9044564856795311
32,max,RMSprop,250,0.9034612407386929
32,max,RMSprop,350,0.9024659957978547
32,max,Adam,5,0.9016919163994249
32,max,Adam,50,0.9032400751962845
32,max,Adam,100,0.9036824062811014
32,max,Adam,250,0.9037929890523057
32,max,Adam,350,0.9045670684507354
32,avg,SGD,5,0.8992590954329316
32,avg,SGD,50,0.9051199823067566
32,avg,SGD,100,0.9055623133915736
32,avg,SGD,250,0.905783478933982
32,avg,SGD,350,0.9073316377308416
32,avg,RMSprop,5,0.9010284197721995
32,avg,RMSprop,50,0.9039035718235099
32,avg,RMSprop,100,0.9042353201371226
32,avg,RMSprop,250,0.9051199823067566
32,avg,RMSprop,350,0.9027977441114674
32,avg,Adam,5,0.9050093995355524
32,avg,Adam,50,0.9054517306203693
32,avg,Adam,100,0.9044564856795311
32,avg,Adam,250,0.9039035718235099
32,avg,Adam,350,0.9018024991706293
64,max,SGD,5,0.9006966714585868
64,max,SGD,50,0.9067787238748203
64,max,SGD,100,0.9060046444763906
64,max,SGD,250,0.9050093995355524
64,max,SGD,350,0.9058940617051864
64,max,RMSprop,5,0.9037929890523057
64,max,RMSprop,50,0.9031294924250802
64,max,RMSprop,100,0.9031294924250802
64,max,RMSprop,250,0.9029083268826716
64,max,RMSprop,350,0.9074422205020458
64,max,Adam,5,0.9020236647130377
64,max,Adam,50,0.9010284197721995
64,max,Adam,100,0.9050093995355524
64,max,Adam,250,0.9052305650779608
64,max,Adam,350,0.9018024991706293
64,avg,SGD,5,0.9004755059161783
64,avg,SGD,50,0.9051199823067566
64,avg,SGD,100,0.9062258100187991
64,avg,SGD,250,0.9060046444763906
64,avg,SGD,350,0.9091009620701095
64,avg,RMSprop,5,0.8750414685392016
64,avg,RMSprop,50,0.9044564856795311
64,avg,RMSprop,100,0.9030189096538759
64,avg,RMSprop,250,0.9006966714585868
64,avg,RMSprop,350,0.9024659957978547
64,avg,Adam,5,0.9023554130266505
64,avg,Adam,50,0.8989273471193188
64,avg,Adam,100,0.9033506579674887
64,avg,Adam,250,0.8997014265177485
64,avg,Adam,350,0.9045670684507354
