Model Type,Hidden Size,Pooling,Optimizer,Epochs,Accuracy
Bidirectional RNN,16,max,SGD,5,0.9013601680858122
Bidirectional RNN,16,max,SGD,50,0.9046776512219397
Bidirectional RNN,16,max,SGD,100,0.9081057171292712
Bidirectional RNN,16,max,SGD,250,0.9036824062811014
Bidirectional RNN,16,max,SGD,350,0.9062258100187991
Bidirectional RNN,16,max,RMSprop,5,0.9048988167643481
Bidirectional RNN,16,max,RMSprop,50,0.9051199823067566
Bidirectional RNN,16,max,RMSprop,100,0.9037929890523057
Bidirectional RNN,16,max,RMSprop,250,0.9060046444763906
Bidirectional RNN,16,max,RMSprop,350,0.9039035718235099
Bidirectional RNN,16,max,Adam,5,0.9037929890523057
Bidirectional RNN,16,max,Adam,50,0.9032400751962845
Bidirectional RNN,16,max,Adam,100,0.900807254229791
Bidirectional RNN,16,max,Adam,250,0.9050093995355524
Bidirectional RNN,16,max,Adam,350,0.9006966714585868
Bidirectional RNN,16,avg,SGD,5,0.8989273471193188
Bidirectional RNN,16,avg,SGD,50,0.9037929890523057
Bidirectional RNN,16,avg,SGD,100,0.9062258100187991
Bidirectional RNN,16,avg,SGD,250,0.9054517306203693
Bidirectional RNN,16,avg,SGD,350,0.9054517306203693
Bidirectional RNN,16,avg,RMSprop,5,0.9031294924250802
Bidirectional RNN,16,avg,RMSprop,50,0.9016919163994249
Bidirectional RNN,16,avg,RMSprop,100,0.9034612407386929
Bidirectional RNN,16,avg,RMSprop,250,0.9061152272475949
Bidirectional RNN,16,avg,RMSprop,350,0.9029083268826716
Bidirectional RNN,16,avg,Adam,5,0.9024659957978547
Bidirectional RNN,16,avg,Adam,50,0.9040141545947141
Bidirectional RNN,16,avg,Adam,100,0.9041247373659184
Bidirectional RNN,16,avg,Adam,250,0.9025765785690589
Bidirectional RNN,16,avg,Adam,350,0.9035718235098972
Bidirectional RNN,32,max,SGD,5,0.8995908437465443
Bidirectional RNN,32,max,SGD,50,0.9065575583324118
Bidirectional RNN,32,max,SGD,100,0.9055623133915736
Bidirectional RNN,32,max,SGD,250,0.9053411478491651
Bidirectional RNN,32,max,SGD,350,0.9052305650779608
Bidirectional RNN,32,max,RMSprop,5,0.9034612407386929
Bidirectional RNN,32,max,RMSprop,50,0.9076633860444543
Bidirectional RNN,32,max,RMSprop,100,0.9036824062811014
Bidirectional RNN,32,max,RMSprop,250,0.9047882339931439
Bidirectional RNN,32,max,RMSprop,350,0.9039035718235099
Bidirectional RNN,32,max,Adam,5,0.9062258100187991
Bidirectional RNN,32,max,Adam,50,0.9034612407386929
Bidirectional RNN,32,max,Adam,100,0.9037929890523057
Bidirectional RNN,32,max,Adam,250,0.9052305650779608
Bidirectional RNN,32,max,Adam,350,0.9033506579674887
Bidirectional RNN,32,avg,SGD,5,0.9020236647130377
Bidirectional RNN,32,avg,SGD,50,0.9046776512219397
Bidirectional RNN,32,avg,SGD,100,0.9061152272475949
Bidirectional RNN,32,avg,SGD,250,0.905783478933982
Bidirectional RNN,32,avg,SGD,350,0.9055623133915736
Bidirectional RNN,32,avg,RMSprop,5,0.9005860886873825
Bidirectional RNN,32,avg,RMSprop,50,0.9013601680858122
Bidirectional RNN,32,avg,RMSprop,100,0.902134247484242
Bidirectional RNN,32,avg,RMSprop,250,0.8993696782041358
Bidirectional RNN,32,avg,RMSprop,350,0.9044564856795311
Bidirectional RNN,32,avg,Adam,5,0.9042353201371226
Bidirectional RNN,32,avg,Adam,50,0.900807254229791
Bidirectional RNN,32,avg,Adam,100,0.9046776512219397
Bidirectional RNN,32,avg,Adam,250,0.9029083268826716
Bidirectional RNN,32,avg,Adam,350,0.9020236647130377
Bidirectional RNN,64,max,SGD,5,0.8998120092889528
Bidirectional RNN,64,max,SGD,50,0.9058940617051864
Bidirectional RNN,64,max,SGD,100,0.9056728961627778
Bidirectional RNN,64,max,SGD,250,0.9064469755612076
Bidirectional RNN,64,max,SGD,350,0.9073316377308416
Bidirectional RNN,64,max,RMSprop,5,0.9023554130266505
Bidirectional RNN,64,max,RMSprop,50,0.9020236647130377
Bidirectional RNN,64,max,RMSprop,100,0.9035718235098972
Bidirectional RNN,64,max,RMSprop,250,0.9015813336282207
Bidirectional RNN,64,max,RMSprop,350,0.9011390025434037
Bidirectional RNN,64,max,Adam,5,0.9029083268826716
Bidirectional RNN,64,max,Adam,50,0.9006966714585868
Bidirectional RNN,64,max,Adam,100,0.9023554130266505
Bidirectional RNN,64,max,Adam,250,0.9024659957978547
Bidirectional RNN,64,max,Adam,350,0.9042353201371226
Bidirectional RNN,64,avg,SGD,5,0.9004755059161783
Bidirectional RNN,64,avg,SGD,50,0.9034612407386929
Bidirectional RNN,64,avg,SGD,100,0.9087692137564968
Bidirectional RNN,64,avg,SGD,250,0.906668141103616
Bidirectional RNN,64,avg,SGD,350,0.905783478933982
Bidirectional RNN,64,avg,RMSprop,5,0.900807254229791
Bidirectional RNN,64,avg,RMSprop,50,0.9010284197721995
Bidirectional RNN,64,avg,RMSprop,100,0.9034612407386929
Bidirectional RNN,64,avg,RMSprop,250,0.9001437576025655
Bidirectional RNN,64,avg,RMSprop,350,0.9052305650779608
Bidirectional RNN,64,avg,Adam,5,0.906668141103616
Bidirectional RNN,64,avg,Adam,50,0.9030189096538759
Bidirectional RNN,64,avg,Adam,100,0.9035718235098972
Bidirectional RNN,64,avg,Adam,250,0.9016919163994249
Bidirectional RNN,64,avg,Adam,350,0.8993696782041358
