Model,Hidden Size,Pooling,Optimizer,Epochs,Accuracy
RNN MarkovNet,32,max,SGD,5,0.900364923144974
RNN MarkovNet,32,max,SGD,50,0.902134247484242
RNN MarkovNet,32,max,SGD,100,0.906668141103616
RNN MarkovNet,32,max,SGD,250,0.9050093995355524
RNN MarkovNet,32,max,SGD,350,0.9052305650779608
RNN MarkovNet,32,max,RMSprop,5,0.9042353201371226
RNN MarkovNet,32,max,RMSprop,50,0.9044564856795311
RNN MarkovNet,32,max,RMSprop,100,0.9046776512219397
RNN MarkovNet,32,max,RMSprop,250,0.9058940617051864
RNN MarkovNet,32,max,RMSprop,350,0.9044564856795311
RNN MarkovNet,32,max,Adam,5,0.9034612407386929
RNN MarkovNet,32,max,Adam,50,0.9026871613402632
RNN MarkovNet,32,max,Adam,100,0.9052305650779608
RNN MarkovNet,32,max,Adam,250,0.901249585314608
RNN MarkovNet,32,max,Adam,350,0.9053411478491651
RNN MarkovNet,32,avg,SGD,5,0.9019130819418335
RNN MarkovNet,32,avg,SGD,50,0.9036824062811014
RNN MarkovNet,32,avg,SGD,100,0.9054517306203693
RNN MarkovNet,32,avg,SGD,250,0.9046776512219397
RNN MarkovNet,32,avg,SGD,350,0.905783478933982
RNN MarkovNet,32,avg,RMSprop,5,0.9015813336282207
RNN MarkovNet,32,avg,RMSprop,50,0.9048988167643481
RNN MarkovNet,32,avg,RMSprop,100,0.905783478933982
RNN MarkovNet,32,avg,RMSprop,250,0.9031294924250802
RNN MarkovNet,32,avg,RMSprop,350,0.9023554130266505
RNN MarkovNet,32,avg,Adam,5,0.9053411478491651
RNN MarkovNet,32,avg,Adam,50,0.9056728961627778
RNN MarkovNet,32,avg,Adam,100,0.9035718235098972
RNN MarkovNet,32,avg,Adam,250,0.9083268826716797
RNN MarkovNet,32,avg,Adam,350,0.9031294924250802
RNN MarkovNet,64,max,SGD,5,0.9001437576025655
RNN MarkovNet,64,max,SGD,50,0.9050093995355524
RNN MarkovNet,64,max,SGD,100,0.9064469755612076
RNN MarkovNet,64,max,SGD,250,0.9092115448413137
RNN MarkovNet,64,max,SGD,350,0.9064469755612076
RNN MarkovNet,64,max,RMSprop,5,0.8974897710936636
RNN MarkovNet,64,max,RMSprop,50,0.9018024991706293
RNN MarkovNet,64,max,RMSprop,100,0.9032400751962845
RNN MarkovNet,64,max,RMSprop,250,0.9025765785690589
RNN MarkovNet,64,max,RMSprop,350,0.9015813336282207
RNN MarkovNet,64,max,Adam,5,0.9039035718235099
RNN MarkovNet,64,max,Adam,50,0.9026871613402632
RNN MarkovNet,64,max,Adam,100,0.8997014265177485
RNN MarkovNet,64,max,Adam,250,0.9032400751962845
RNN MarkovNet,64,max,Adam,350,0.9033506579674887
RNN MarkovNet,64,avg,SGD,5,0.8995908437465443
RNN MarkovNet,64,avg,SGD,50,0.9023554130266505
RNN MarkovNet,64,avg,SGD,100,0.9046776512219397
RNN MarkovNet,64,avg,SGD,250,0.9041247373659184
RNN MarkovNet,64,avg,SGD,350,0.907995134358067
RNN MarkovNet,64,avg,RMSprop,5,0.9039035718235099
RNN MarkovNet,64,avg,RMSprop,50,0.9031294924250802
RNN MarkovNet,64,avg,RMSprop,100,0.9000331748313612
RNN MarkovNet,64,avg,RMSprop,250,0.9047882339931439
RNN MarkovNet,64,avg,RMSprop,350,0.9027977441114674
RNN MarkovNet,64,avg,Adam,5,0.9061152272475949
RNN MarkovNet,64,avg,Adam,50,0.9023554130266505
RNN MarkovNet,64,avg,Adam,100,0.9053411478491651
RNN MarkovNet,64,avg,Adam,250,0.900807254229791
RNN MarkovNet,64,avg,Adam,350,0.905783478933982
